"account_id","balance_as_known","balance_as_restated","delta","as_of_ts"
"C275056979","-13527.16","-13527.16","0.00","2026-01-01 23:59:59.000000 UTC"
"C925803196","-6780.78","-6780.78","0.00","2026-01-01 23:59:59.000000 UTC"
"C2069500590","-262392.36","-262392.36","0.00","2026-01-01 23:59:59.000000 UTC"
"C1406848276","-7771.40","-7771.40","0.00","2026-01-01 23:59:59.000000 UTC"
"C1768952842","-1066.04","-1066.04","0.00","2026-01-01 23:59:59.000000 UTC"
"C96039159","-2271.34","-2271.34","0.00","2026-01-01 23:59:59.000000 UTC"
"C480402503","-105759.12","-105759.12","0.00","2026-01-01 23:59:59.000000 UTC"
"C1800649922","-57279.11","-57279.11","0.00","2026-01-01 23:59:59.000000 UTC"
"C1458621573","-9164.71","-9164.71","0.00","2026-01-01 23:59:59.000000 UTC"
"C754072705","-13136.44","-13136.44","0.00","2026-01-01 23:59:59.000000 UTC"
"C1533547487","-142282.63","-142282.63","0.00","2026-01-01 23:59:59.000000 UTC"
"C1398260359","-4932.54","-4932.54","0.00","2026-01-01 23:59:59.000000 UTC"
"C1995952705","9067.51","9067.51","0.00","2026-01-01 23:59:59.000000 UTC"
"C1984094095","-311685.89","-311685.89","0.00","2026-01-01 23:59:59.000000 UTC"
"C489411441","-105979.34","-105979.34","0.00","2026-01-01 23:59:59.000000 UTC"
"C1095947149","-964.77","-964.77","0.00","2026-01-01 23:59:59.000000 UTC"
"C413373997","-26051.33","-26051.33","0.00","2026-01-01 23:59:59.000000 UTC"
"C870322840","222126.95","222126.95","0.00","2026-01-01 23:59:59.000000 UTC"
"C1784834205","-49661.18","-49661.18","0.00","2026-01-01 23:59:59.000000 UTC"
"C727250772","-76635.24","-76635.24","0.00","2026-01-01 23:59:59.000000 UTC"
"C307411297","-3551.48","-3551.48","0.00","2026-01-01 23:59:59.000000 UTC"
"C1858015030","-6165.58","-6165.58","0.00","2026-01-01 23:59:59.000000 UTC"
"C388802347","-517915.91","-517915.91","0.00","2026-01-01 23:59:59.000000 UTC"
"C1640612861","-503333.79","-503333.79","0.00","2026-01-01 23:59:59.000000 UTC"
"C934740803","-195314.34","-195314.34","0.00","2026-01-01 23:59:59.000000 UTC"
"C1269118128","-7444.40","-7444.40","0.00","2026-01-01 23:59:59.000000 UTC"
"C1466917878","-5758.59","-5758.59","0.00","2026-01-01 23:59:59.000000 UTC"
"C1527086220","-6131.21","-6131.21","0.00","2026-01-01 23:59:59.000000 UTC"
"C2123914473","-3563.36","-3563.36","0.00","2026-01-01 23:59:59.000000 UTC"
"C1648232591","-2560.74","-2560.74","0.00","2026-01-01 23:59:59.000000 UTC"
"C685934","2099.59","2099.59","0.00","2026-01-01 23:59:59.000000 UTC"
"C1988939205","-11438.39","-11438.39","0.00","2026-01-01 23:59:59.000000 UTC"
"C1390301622","-5812.36","-5812.36","0.00","2026-01-01 23:59:59.000000 UTC"
"C338887787","216133.99","216133.99","0.00","2026-01-01 23:59:59.000000 UTC"
"C1694784135","-3058.80","-3058.80","0.00","2026-01-01 23:59:59.000000 UTC"
"C1481594086","-1684.81","-1684.81","0.00","2026-01-01 23:59:59.000000 UTC"
"C1406253491","6915.38","6915.38","0.00","2026-01-01 23:59:59.000000 UTC"
"C2113243119","-208501.33","-208501.33","0.00","2026-01-01 23:59:59.000000 UTC"
"C1340848245","79285.80","79285.80","0.00","2026-01-01 23:59:59.000000 UTC"
"C544386226","-244.87","-244.87","0.00","2026-01-01 23:59:59.000000 UTC"
"C1561745898","-14420.66","-14420.66","0.00","2026-01-01 23:59:59.000000 UTC"
"C478139423","-7206.33","-7206.33","0.00","2026-01-01 23:59:59.000000 UTC"
"C703555670","-4376.46","-4376.46","0.00","2026-01-01 23:59:59.000000 UTC"
"C1634723627","-178439.26","-178439.26","0.00","2026-01-01 23:59:59.000000 UTC"
"C1324514662","-132038.41","-132038.41","0.00","2026-01-01 23:59:59.000000 UTC"
"C90045638","-7817.71","-7817.71","0.00","2026-01-01 23:59:59.000000 UTC"
"C767436045","178370.36","178370.36","0.00","2026-01-01 23:59:59.000000 UTC"
"C712410124","-5337.77","-5337.77","0.00","2026-01-01 23:59:59.000000 UTC"
"C1627883152","-527.15","-527.15","0.00","2026-01-01 23:59:59.000000 UTC"
"C1827303532","-4337.08","-4337.08","0.00","2026-01-01 23:59:59.000000 UTC"
"C1925785585","-1810.41","-1810.41","0.00","2026-01-01 23:59:59.000000 UTC"
"C1660325375","-1553.21","-1553.21","0.00","2026-01-01 23:59:59.000000 UTC"
"C1161148117","-6440.78","-6440.78","0.00","2026-01-01 23:59:59.000000 UTC"
"C1220759559","-1118.10","-1118.10","0.00","2026-01-01 23:59:59.000000 UTC"
"C1620529408","-68912.23","-68912.23","0.00","2026-01-01 23:59:59.000000 UTC"
"C1621254922","227335.16","227335.16","0.00","2026-01-01 23:59:59.000000 UTC"
"C500618423","-271002.70","-271002.70","0.00","2026-01-01 23:59:59.000000 UTC"
"C992743048","-80333.28","-80333.28","0.00","2026-01-01 23:59:59.000000 UTC"
"C1692073709","-1209.64","-1209.64","0.00","2026-01-01 23:59:59.000000 UTC"
"C2059592603","-1084.90","-1084.90","0.00","2026-01-01 23:59:59.000000 UTC"
"C1100619942","-1586.28","-1586.28","0.00","2026-01-01 23:59:59.000000 UTC"
"C779598031","-13373.96","-13373.96","0.00","2026-01-01 23:59:59.000000 UTC"
"C1877986974","-174068.82","-174068.82","0.00","2026-01-01 23:59:59.000000 UTC"
"C454160179","-8074.16","-8074.16","0.00","2026-01-01 23:59:59.000000 UTC"
"C896852376","-12426.38","-12426.38","0.00","2026-01-01 23:59:59.000000 UTC"
"C2061440682","-7417.09","-7417.09","0.00","2026-01-01 23:59:59.000000 UTC"
"C1122233828","32325.24","32325.24","0.00","2026-01-01 23:59:59.000000 UTC"
"C938613108","-6993.70","-6993.70","0.00","2026-01-01 23:59:59.000000 UTC"
"C296541232","-3635.93","-3635.93","0.00","2026-01-01 23:59:59.000000 UTC"
"C407148497","-113283.13","-113283.13","0.00","2026-01-01 23:59:59.000000 UTC"
"C169880779","-176334.26","-176334.26","0.00","2026-01-01 23:59:59.000000 UTC"
"C145066402","-6854.06","-6854.06","0.00","2026-01-01 23:59:59.000000 UTC"
"C288919635","-760.21","-760.21","0.00","2026-01-01 23:59:59.000000 UTC"
"C2030138610","-3644.85","-3644.85","0.00","2026-01-01 23:59:59.000000 UTC"
"C1131592118","-4910.14","-4910.14","0.00","2026-01-01 23:59:59.000000 UTC"
"C247113419","-5031.22","-5031.22","0.00","2026-01-01 23:59:59.000000 UTC"
"C698747943","-194620.68","-194620.68","0.00","2026-01-01 23:59:59.000000 UTC"
"C1520267010","-1429051.47","-1429051.47","0.00","2026-01-01 23:59:59.000000 UTC"
"C379124840","74933.22","74933.22","0.00","2026-01-01 23:59:59.000000 UTC"
"C104261836","-3222.32","-3222.32","0.00","2026-01-01 23:59:59.000000 UTC"
"C26357357","-56145.85","-56145.85","0.00","2026-01-01 23:59:59.000000 UTC"
"C1548271808","-1679.68","-1679.68","0.00","2026-01-01 23:59:59.000000 UTC"
"C1299327689","-365510.05","-365510.05","0.00","2026-01-01 23:59:59.000000 UTC"
"C701487403","-1658.87","-1658.87","0.00","2026-01-01 23:59:59.000000 UTC"
"C1412322831","-2875.10","-2875.10","0.00","2026-01-01 23:59:59.000000 UTC"
"C1623060829","-895.24","-895.24","0.00","2026-01-01 23:59:59.000000 UTC"
"C1709578324","-10285.86","-10285.86","0.00","2026-01-01 23:59:59.000000 UTC"
"C1900366749","-9644.94","-9644.94","0.00","2026-01-01 23:59:59.000000 UTC"
"C1108889615","-7707.44","-7707.44","0.00","2026-01-01 23:59:59.000000 UTC"
"C1938025186","-4145.04","-4145.04","0.00","2026-01-01 23:59:59.000000 UTC"
"C997695567","-5581.55","-5581.55","0.00","2026-01-01 23:59:59.000000 UTC"
"C1470911015","-4182.93","-4182.93","0.00","2026-01-01 23:59:59.000000 UTC"
"C1971991758","-5507.18","-5507.18","0.00","2026-01-01 23:59:59.000000 UTC"
"C407493402","-128278.74","-128278.74","0.00","2026-01-01 23:59:59.000000 UTC"
"C1860886124","355294.50","355294.50","0.00","2026-01-01 23:59:59.000000 UTC"
"C597364637","-9491.89","-9491.89","0.00","2026-01-01 23:59:59.000000 UTC"
"C1076966140","-950.25","-950.25","0.00","2026-01-01 23:59:59.000000 UTC"
"C662925691","217668.38","217668.38","0.00","2026-01-01 23:59:59.000000 UTC"
"C2091072548","-28404.60","-28404.60","0.00","2026-01-01 23:59:59.000000 UTC"
"C2095677157","-13310.78","-13310.78","0.00","2026-01-01 23:59:59.000000 UTC"
"C1053967012","-8009.09","-8009.09","0.00","2026-01-01 23:59:59.000000 UTC"
"C859123506","-236825.42","-236825.42","0.00","2026-01-01 23:59:59.000000 UTC"
"C452364286","-202624.59","-202624.59","0.00","2026-01-01 23:59:59.000000 UTC"
"C839771540","35902.49","35902.49","0.00","2026-01-01 23:59:59.000000 UTC"
"C1624211687","-1582.67","-1582.67","0.00","2026-01-01 23:59:59.000000 UTC"
"C515520300","-7645.96","-7645.96","0.00","2026-01-01 23:59:59.000000 UTC"
"C533415944","-4402.86","-4402.86","0.00","2026-01-01 23:59:59.000000 UTC"
"C1832283291","-8703.54","-8703.54","0.00","2026-01-01 23:59:59.000000 UTC"
"C2064883371","-5297.36","-5297.36","0.00","2026-01-01 23:59:59.000000 UTC"
"C1007660652","-553.25","-553.25","0.00","2026-01-01 23:59:59.000000 UTC"
"C988904418","-848.74","-848.74","0.00","2026-01-01 23:59:59.000000 UTC"
"C636959006","-1260.62","-1260.62","0.00","2026-01-01 23:59:59.000000 UTC"
"C882646447","-339.82","-339.82","0.00","2026-01-01 23:59:59.000000 UTC"
"C753426788","-285360.06","-285360.06","0.00","2026-01-01 23:59:59.000000 UTC"
"C1172535934","-739112.93","-739112.93","0.00","2026-01-01 23:59:59.000000 UTC"
"C697460450","-4149.86","-4149.86","0.00","2026-01-01 23:59:59.000000 UTC"
"C852190062","-283123.48","-283123.48","0.00","2026-01-01 23:59:59.000000 UTC"
"C696739588","-5403.87","-5403.87","0.00","2026-01-01 23:59:59.000000 UTC"
"C270661321","-5446.88","-5446.88","0.00","2026-01-01 23:59:59.000000 UTC"
"C1990733619","-973.18","-973.18","0.00","2026-01-01 23:59:59.000000 UTC"
"C749443480","-12728.46","-12728.46","0.00","2026-01-01 23:59:59.000000 UTC"
"C1850874910","-795.29","-795.29","0.00","2026-01-01 23:59:59.000000 UTC"
"C1947941827","-138857.19","-138857.19","0.00","2026-01-01 23:59:59.000000 UTC"
"C164439551","-2671.31","-2671.31","0.00","2026-01-01 23:59:59.000000 UTC"
"C173738886","1271.77","1271.77","0.00","2026-01-01 23:59:59.000000 UTC"
"C864248990","-6811.97","-6811.97","0.00","2026-01-01 23:59:59.000000 UTC"
"C1532139270","-65521.42","-65521.42","0.00","2026-01-01 23:59:59.000000 UTC"
"C708613859","193161.04","193161.04","0.00","2026-01-01 23:59:59.000000 UTC"
"C1690050988","-2270.41","-2270.41","0.00","2026-01-01 23:59:59.000000 UTC"
"C416201381","-6536.86","-6536.86","0.00","2026-01-01 23:59:59.000000 UTC"
"C2052223881","65413.89","65413.89","0.00","2026-01-01 23:59:59.000000 UTC"
"C660595570","90340.16","90340.16","0.00","2026-01-01 23:59:59.000000 UTC"
"C42820240","-5223.97","-5223.97","0.00","2026-01-01 23:59:59.000000 UTC"
"C873175411","-224606.64","-224606.64","0.00","2026-01-01 23:59:59.000000 UTC"
"C1453606810","144366.64","144366.64","0.00","2026-01-01 23:59:59.000000 UTC"
"C1195396074","183250.00","183250.00","0.00","2026-01-01 23:59:59.000000 UTC"
"C1979080261","217615.09","217615.09","0.00","2026-01-01 23:59:59.000000 UTC"
"C1427775702","-10430.39","-10430.39","0.00","2026-01-01 23:59:59.000000 UTC"
"C1488946768","-8865.26","-8865.26","0.00","2026-01-01 23:59:59.000000 UTC"
"C1088417975","-163100.34","-163100.34","0.00","2026-01-01 23:59:59.000000 UTC"
"C1976602906","-624.61","-624.61","0.00","2026-01-01 23:59:59.000000 UTC"
"C1313799195","-6757.51","-6757.51","0.00","2026-01-01 23:59:59.000000 UTC"
"C1233595751","-53631.83","-53631.83","0.00","2026-01-01 23:59:59.000000 UTC"
"C350069300","-118235.16","-118235.16","0.00","2026-01-01 23:59:59.000000 UTC"
"C691779749","-1979.94","-1979.94","0.00","2026-01-01 23:59:59.000000 UTC"
"C52913970","-13679.84","-13679.84","0.00","2026-01-01 23:59:59.000000 UTC"
"C429058804","-20560.86","-20560.86","0.00","2026-01-01 23:59:59.000000 UTC"
"C1476235721","131409.27","131409.27","0.00","2026-01-01 23:59:59.000000 UTC"
"C203819996","194900.16","194900.16","0.00","2026-01-01 23:59:59.000000 UTC"
"C1751500625","-69708.79","-69708.79","0.00","2026-01-01 23:59:59.000000 UTC"
"C1478995734","-2056.59","-2056.59","0.00","2026-01-01 23:59:59.000000 UTC"
"C375097969","-3801.74","-3801.74","0.00","2026-01-01 23:59:59.000000 UTC"
"C1527007086","9577.45","9577.45","0.00","2026-01-01 23:59:59.000000 UTC"
"C1495608502","-1724887.05","-1724887.05","0.00","2026-01-01 23:59:59.000000 UTC"
"C878861517","-6557.51","-6557.51","0.00","2026-01-01 23:59:59.000000 UTC"
"C1027319653","-9014.95","-9014.95","0.00","2026-01-01 23:59:59.000000 UTC"
"C1011044643","-12154.70","-12154.70","0.00","2026-01-01 23:59:59.000000 UTC"
"C1449772539","-379856.23","-379856.23","0.00","2026-01-01 23:59:59.000000 UTC"
"C955611965","-4779.93","-4779.93","0.00","2026-01-01 23:59:59.000000 UTC"
"C65080774","-635507.97","-635507.97","0.00","2026-01-01 23:59:59.000000 UTC"
"C2051598050","-3043.27","-3043.27","0.00","2026-01-01 23:59:59.000000 UTC"
"C635288507","-34390.85","-34390.85","0.00","2026-01-01 23:59:59.000000 UTC"
"C1170788511","-13449.95","-13449.95","0.00","2026-01-01 23:59:59.000000 UTC"
"C1586470445","-161445.91","-161445.91","0.00","2026-01-01 23:59:59.000000 UTC"
"C649769713","-9536.54","-9536.54","0.00","2026-01-01 23:59:59.000000 UTC"
"C79161706","-2340.34","-2340.34","0.00","2026-01-01 23:59:59.000000 UTC"
"C1489193907","197031.04","197031.04","0.00","2026-01-01 23:59:59.000000 UTC"
"C2117642238","92971.79","92971.79","0.00","2026-01-01 23:59:59.000000 UTC"
"C1760219993","-190445.51","-190445.51","0.00","2026-01-01 23:59:59.000000 UTC"
"C1313960293","-6432.26","-6432.26","0.00","2026-01-01 23:59:59.000000 UTC"
"C788892554","-1530.83","-1530.83","0.00","2026-01-01 23:59:59.000000 UTC"
"C119112899","-83859.59","-83859.59","0.00","2026-01-01 23:59:59.000000 UTC"
"C990679445","-71991.42","-71991.42","0.00","2026-01-01 23:59:59.000000 UTC"
"C1747053097","236747.60","236747.60","0.00","2026-01-01 23:59:59.000000 UTC"
"C538667887","345347.70","345347.70","0.00","2026-01-01 23:59:59.000000 UTC"
"C494953170","-598.24","-598.24","0.00","2026-01-01 23:59:59.000000 UTC"
"C712627377","-584.52","-584.52","0.00","2026-01-01 23:59:59.000000 UTC"
"C1210939243","-374.36","-374.36","0.00","2026-01-01 23:59:59.000000 UTC"
"C466032056","-596617.87","-596617.87","0.00","2026-01-01 23:59:59.000000 UTC"
"C140404585","-302693.14","-302693.14","0.00","2026-01-01 23:59:59.000000 UTC"
"C1527152775","-187726.67","-187726.67","0.00","2026-01-01 23:59:59.000000 UTC"
"C1924227192","-242940.23","-242940.23","0.00","2026-01-01 23:59:59.000000 UTC"
"C1336775847","-84212.94","-84212.94","0.00","2026-01-01 23:59:59.000000 UTC"
"C307605969","-132.42","-132.42","0.00","2026-01-01 23:59:59.000000 UTC"
"C977997405","-151096.79","-151096.79","0.00","2026-01-01 23:59:59.000000 UTC"
"C58890945","230021.01","230021.01","0.00","2026-01-01 23:59:59.000000 UTC"
"C1026483832","-4098.78","-4098.78","0.00","2026-01-01 23:59:59.000000 UTC"
"C338620258","-8094.53","-8094.53","0.00","2026-01-01 23:59:59.000000 UTC"
"C396918327","-1457213.54","-1457213.54","0.00","2026-01-01 23:59:59.000000 UTC"
"C702999333","132457.52","132457.52","0.00","2026-01-01 23:59:59.000000 UTC"
"C1697281847","-11938.61","-11938.61","0.00","2026-01-01 23:59:59.000000 UTC"
"C1566511282","-9302.79","-9302.79","0.00","2026-01-01 23:59:59.000000 UTC"
"C1724814719","-19561.05","-19561.05","0.00","2026-01-01 23:59:59.000000 UTC"
"C1765702","6287.28","6287.28","0.00","2026-01-01 23:59:59.000000 UTC"
"C1233505227","-8679.29","-8679.29","0.00","2026-01-01 23:59:59.000000 UTC"
"C1243171897","-17231.46","-17231.46","0.00","2026-01-01 23:59:59.000000 UTC"
"C2072313080","-23261.30","-23261.30","0.00","2026-01-01 23:59:59.000000 UTC"
"C315461968","-13427.34","-13427.34","0.00","2026-01-01 23:59:59.000000 UTC"
"C1491860739","-3060.54","-3060.54","0.00","2026-01-01 23:59:59.000000 UTC"
"C1434015813","-3035.35","-3035.35","0.00","2026-01-01 23:59:59.000000 UTC"
"C2145420209","-1009.43","-1009.43","0.00","2026-01-01 23:59:59.000000 UTC"
"C1360541835","-1157.05","-1157.05","0.00","2026-01-01 23:59:59.000000 UTC"
"C472991420","-3852.64","-3852.64","0.00","2026-01-01 23:59:59.000000 UTC"
"C1639765351","311449.38","311449.38","0.00","2026-01-01 23:59:59.000000 UTC"
"C988690806","-2195.63","-2195.63","0.00","2026-01-01 23:59:59.000000 UTC"
"C1726616678","-13252.81","-13252.81","0.00","2026-01-01 23:59:59.000000 UTC"
"C2121995675","-210370.09","-210370.09","0.00","2026-01-01 23:59:59.000000 UTC"
"C252615006","-6057.80","-6057.80","0.00","2026-01-01 23:59:59.000000 UTC"
"C1705665942","-17348.25","-17348.25","0.00","2026-01-01 23:59:59.000000 UTC"
"C1043358826","-6061.13","-6061.13","0.00","2026-01-01 23:59:59.000000 UTC"
"C735228558","62871.06","62871.06","0.00","2026-01-01 23:59:59.000000 UTC"
"C2036775591","-136030.66","-136030.66","0.00","2026-01-01 23:59:59.000000 UTC"
"C706665172","-348186.20","-348186.20","0.00","2026-01-01 23:59:59.000000 UTC"
"C1408279755","-202332.08","-202332.08","0.00","2026-01-01 23:59:59.000000 UTC"
"C484199463","-13875.98","-13875.98","0.00","2026-01-01 23:59:59.000000 UTC"
"C1408533352","-4573.12","-4573.12","0.00","2026-01-01 23:59:59.000000 UTC"
"C1627010197","-166335.32","-166335.32","0.00","2026-01-01 23:59:59.000000 UTC"
"C130166095","-19644.08","-19644.08","0.00","2026-01-01 23:59:59.000000 UTC"
"C1659286984","38071.17","38071.17","0.00","2026-01-01 23:59:59.000000 UTC"
"C811207775","-4874.49","-4874.49","0.00","2026-01-01 23:59:59.000000 UTC"
"C993420850","-8791.02","-8791.02","0.00","2026-01-01 23:59:59.000000 UTC"
"C1238616099","-24213.67","-24213.67","0.00","2026-01-01 23:59:59.000000 UTC"
"C1542598424","-8358.12","-8358.12","0.00","2026-01-01 23:59:59.000000 UTC"
"C373097727","223555.14","223555.14","0.00","2026-01-01 23:59:59.000000 UTC"
"C867093003","-28527.44","-28527.44","0.00","2026-01-01 23:59:59.000000 UTC"
"C1306794745","10266.70","10266.70","0.00","2026-01-01 23:59:59.000000 UTC"
"C424786033","-4802.31","-4802.31","0.00","2026-01-01 23:59:59.000000 UTC"
"C253348306","-8358.81","-8358.81","0.00","2026-01-01 23:59:59.000000 UTC"
"C215078753","-4206.84","-4206.84","0.00","2026-01-01 23:59:59.000000 UTC"
"C1091234211","-2380.46","-2380.46","0.00","2026-01-01 23:59:59.000000 UTC"
"C1112456099","-26004.52","-26004.52","0.00","2026-01-01 23:59:59.000000 UTC"
"C1586151649","-2731.37","-2731.37","0.00","2026-01-01 23:59:59.000000 UTC"
"C743778731","-335416.51","-335416.51","0.00","2026-01-01 23:59:59.000000 UTC"
