"account_id","business_date","currency","opening_balance","credit_volume","debit_volume","closing_balance","txn_count","computed_at"
"C1018344158","2026-01-16","USD","0.00","247302.30","0.00","247302.30","1","2026-09-07 19:39:59.437443 UTC"
"C1028826751","2026-01-16","EUR","0.00","0.00","18105.49","-18105.49","1","2026-09-07 19:39:59.437443 UTC"
"C1039082143","2026-01-16","USD","0.00","408610.18","0.00","408610.18","1","2026-09-07 19:39:59.437443 UTC"
"C1040118365","2026-01-16","GBP","0.00","0.00","3707.29","-3707.29","1","2026-09-07 19:39:59.437443 UTC"
"C1114335860","2026-01-01","USD","0.00","0.00","6969.67","-6969.67","1","2026-09-07 19:39:59.437443 UTC"
"C1123559518","2026-01-01","GBP","0.00","0.00","220691.42","-220691.42","1","2026-09-07 19:39:59.437443 UTC"
"C1130346421","2026-01-01","USD","0.00","0.00","5580.98","-5580.98","1","2026-09-07 19:39:59.437443 UTC"
"C1136005694","2026-01-01","GBP","0.00","0.00","2148.89","-2148.89","1","2026-09-07 19:39:59.437443 UTC"
"C114414807","2026-01-01","GBP","0.00","0.00","65025.30","-65025.30","1","2026-09-07 19:39:59.437443 UTC"
"C1153933106","2026-01-01","EUR","0.00","0.00","799483.57","-799483.57","1","2026-09-07 19:39:59.437443 UTC"
"C1155769010","2026-01-01","GBP","0.00","0.00","1341.58","-1341.58","1","2026-09-07 19:39:59.437443 UTC"
"C1164365897","2026-01-01","GBP","0.00","0.00","4843.93","-4843.93","1","2026-09-07 19:39:59.437443 UTC"
"C1166106620","2026-01-01","EUR","0.00","0.00","1175.59","-1175.59","1","2026-09-07 19:39:59.437443 UTC"
"C1166230227","2026-01-01","USD","0.00","0.00","1449.03","-1449.03","1","2026-09-07 19:39:59.437443 UTC"
"C1167088639","2026-01-01","EUR","0.00","0.00","3704.97","-3704.97","1","2026-09-07 19:39:59.437443 UTC"
"C1170788511","2026-01-01","GBP","0.00","0.00","13449.95","-13449.95","1","2026-09-07 19:39:59.437443 UTC"
"C1172535934","2026-01-01","USD","0.00","0.00","739112.93","-739112.93","1","2026-09-07 19:39:59.437443 UTC"
"C1174586025","2026-01-01","EUR","0.00","0.00","73513.50","-73513.50","1","2026-09-07 19:39:59.437443 UTC"
"C1177072083","2026-01-01","GBP","0.00","0.00","682894.68","-682894.68","1","2026-09-07 19:39:59.437443 UTC"
"C1181545730","2026-01-01","EUR","0.00","0.00","6488.60","-6488.60","1","2026-09-07 19:39:59.437443 UTC"
"C1182311147","2026-01-01","EUR","0.00","0.00","3179.70","-3179.70","1","2026-09-07 19:39:59.437443 UTC"
"C1187779195","2026-01-01","GBP","0.00","0.00","9499.40","-9499.40","1","2026-09-07 19:39:59.437443 UTC"
"C119112899","2026-01-01","GBP","0.00","0.00","83859.59","-83859.59","1","2026-09-07 19:39:59.437443 UTC"
"C1193398802","2026-01-01","USD","0.00","0.00","22276.00","-22276.00","1","2026-09-07 19:39:59.437443 UTC"
"C1195396074","2026-01-01","GBP","0.00","183250.00","0.00","183250.00","1","2026-09-07 19:39:59.437443 UTC"
"C1195542839","2026-01-01","EUR","0.00","0.00","2713.67","-2713.67","1","2026-09-07 19:39:59.437443 UTC"
"C1196963249","2026-01-01","GBP","0.00","0.00","312108.51","-312108.51","1","2026-09-07 19:39:59.437443 UTC"
"C1197498159","2026-01-01","EUR","0.00","0.00","1298.70","-1298.70","1","2026-09-07 19:39:59.437443 UTC"
"C1197721383","2026-01-01","USD","0.00","317393.38","0.00","317393.38","1","2026-09-07 19:39:59.437443 UTC"
"C1200048933","2026-01-01","GBP","0.00","0.00","411363.54","-411363.54","1","2026-09-07 19:39:59.437443 UTC"
"C1207231495","2026-01-01","USD","0.00","0.00","5154.97","-5154.97","1","2026-09-07 19:39:59.437443 UTC"
"C1210939243","2026-01-01","GBP","0.00","0.00","374.36","-374.36","1","2026-09-07 19:39:59.437443 UTC"
"C1213871206","2026-01-01","EUR","0.00","98560.08","0.00","98560.08","1","2026-09-07 19:39:59.437443 UTC"
"C1215951090","2026-01-01","USD","0.00","0.00","14306.80","-14306.80","1","2026-09-07 19:39:59.437443 UTC"
"C121678773","2026-01-01","USD","0.00","0.00","2935.86","-2935.86","1","2026-09-07 19:39:59.437443 UTC"
"C1228963996","2026-01-01","EUR","0.00","0.00","13288.84","-13288.84","1","2026-09-07 19:39:59.437443 UTC"
"C1185648203","2026-01-06","USD","0.00","0.00","33857.10","-33857.10","1","2026-09-07 19:39:59.437443 UTC"
"C1186984840","2026-01-06","EUR","0.00","0.00","4798.80","-4798.80","1","2026-09-07 19:39:59.437443 UTC"
"C119282849","2026-01-06","EUR","0.00","0.00","43728.01","-43728.01","1","2026-09-07 19:39:59.437443 UTC"
"C1204785709","2026-01-06","EUR","0.00","0.00","44660.63","-44660.63","1","2026-09-07 19:39:59.437443 UTC"
"C1214357269","2026-01-06","EUR","0.00","0.00","32123.83","-32123.83","1","2026-09-07 19:39:59.437443 UTC"
"C1227700386","2026-01-06","EUR","0.00","0.00","10533.04","-10533.04","1","2026-09-07 19:39:59.437443 UTC"
"C1231119120","2026-01-06","USD","0.00","0.00","139237.68","-139237.68","1","2026-09-07 19:39:59.437443 UTC"
"C1234453970","2026-01-06","EUR","0.00","0.00","7939.48","-7939.48","1","2026-09-07 19:39:59.437443 UTC"
"C1243762708","2026-01-06","GBP","0.00","0.00","211207.36","-211207.36","1","2026-09-07 19:39:59.437443 UTC"
"C1243911696","2026-01-06","GBP","0.00","81947.39","0.00","81947.39","1","2026-09-07 19:39:59.437443 UTC"
"C1247570736","2026-01-06","EUR","0.00","0.00","7203.57","-7203.57","1","2026-09-07 19:39:59.437443 UTC"
"C1254161863","2026-01-06","GBP","0.00","0.00","394310.01","-394310.01","1","2026-09-07 19:39:59.437443 UTC"
"C1278326466","2026-01-06","GBP","0.00","212127.94","0.00","212127.94","1","2026-09-07 19:39:59.437443 UTC"
"C1286968216","2026-01-06","USD","0.00","85360.76","0.00","85360.76","1","2026-09-07 19:39:59.437443 UTC"
"C1287817936","2026-01-06","USD","0.00","225798.64","0.00","225798.64","1","2026-09-07 19:39:59.437443 UTC"
"C1289602009","2026-01-06","GBP","0.00","0.00","17126.04","-17126.04","1","2026-09-07 19:39:59.437443 UTC"
"C1294083676","2026-01-06","USD","0.00","253489.92","0.00","253489.92","1","2026-09-07 19:39:59.437443 UTC"
"C1295359081","2026-01-06","GBP","0.00","17923.87","0.00","17923.87","1","2026-09-07 19:39:59.437443 UTC"
"C1300216352","2026-01-06","EUR","0.00","0.00","24469.38","-24469.38","1","2026-09-07 19:39:59.437443 UTC"
"C13068130","2026-01-06","GBP","0.00","0.00","6779.67","-6779.67","1","2026-09-07 19:39:59.437443 UTC"
"C1317746351","2026-01-06","EUR","0.00","140852.52","0.00","140852.52","1","2026-09-07 19:39:59.437443 UTC"
"C1318310462","2026-01-06","USD","0.00","0.00","304316.59","-304316.59","1","2026-09-07 19:39:59.437443 UTC"
"C131976509","2026-01-06","GBP","0.00","159689.60","0.00","159689.60","1","2026-09-07 19:39:59.437443 UTC"
"C1323418266","2026-01-06","USD","0.00","0.00","8500.77","-8500.77","1","2026-09-07 19:39:59.437443 UTC"
"C1324399707","2026-01-06","GBP","0.00","0.00","53.51","-53.51","1","2026-09-07 19:39:59.437443 UTC"
"C1334198737","2026-01-06","EUR","0.00","0.00","34866.59","-34866.59","1","2026-09-07 19:39:59.437443 UTC"
"C1340283293","2026-01-06","EUR","0.00","0.00","599342.88","-599342.88","1","2026-09-07 19:39:59.437443 UTC"
"C1348009723","2026-01-06","GBP","0.00","0.00","25404.53","-25404.53","1","2026-09-07 19:39:59.437443 UTC"
"C135832852","2026-01-06","EUR","0.00","0.00","2402.80","-2402.80","1","2026-09-07 19:39:59.437443 UTC"
"C135943858","2026-01-06","USD","0.00","0.00","9383.43","-9383.43","1","2026-09-07 19:39:59.437443 UTC"
"C1360711901","2026-01-06","GBP","0.00","297162.61","0.00","297162.61","1","2026-09-07 19:39:59.437443 UTC"
"C1362405334","2026-01-06","GBP","0.00","0.00","13239.13","-13239.13","1","2026-09-07 19:39:59.437443 UTC"
"C1047025651","2026-01-16","EUR","0.00","0.00","10415.62","-10415.62","1","2026-09-07 19:39:59.437443 UTC"
"C104788174","2026-01-16","GBP","0.00","235328.50","0.00","235328.50","1","2026-09-07 19:39:59.437443 UTC"
"C1049794757","2026-01-16","EUR","0.00","0.00","12947.78","-12947.78","1","2026-09-07 19:39:59.437443 UTC"
"C1051707374","2026-01-16","EUR","0.00","294042.99","0.00","294042.99","1","2026-09-07 19:39:59.437443 UTC"
"C1056790461","2026-01-16","EUR","0.00","0.00","435075.93","-435075.93","1","2026-09-07 19:39:59.437443 UTC"
"C1064034701","2026-01-16","USD","0.00","0.00","9410.48","-9410.48","1","2026-09-07 19:39:59.437443 UTC"
"C106532966","2026-01-16","GBP","0.00","281870.52","0.00","281870.52","1","2026-09-07 19:39:59.437443 UTC"
"C1099714122","2026-01-16","GBP","0.00","0.00","3715.55","-3715.55","1","2026-09-07 19:39:59.437443 UTC"
"C1230013344","2026-01-01","USD","0.00","0.00","31188.22","-31188.22","1","2026-09-07 19:39:59.437443 UTC"
"C1233595751","2026-01-01","EUR","0.00","0.00","53631.83","-53631.83","1","2026-09-07 19:39:59.437443 UTC"
"C1241938981","2026-01-01","EUR","0.00","0.00","399.66","-399.66","1","2026-09-07 19:39:59.437443 UTC"
"C1244867001","2026-01-01","GBP","0.00","0.00","2858.89","-2858.89","1","2026-09-07 19:39:59.437443 UTC"
"C1244880808","2026-01-01","USD","0.00","336827.91","0.00","336827.91","1","2026-09-07 19:39:59.437443 UTC"
"C1245593227","2026-01-01","GBP","0.00","0.00","3464.41","-3464.41","1","2026-09-07 19:39:59.437443 UTC"
"C1251897263","2026-01-01","USD","0.00","0.00","25554.79","-25554.79","1","2026-09-07 19:39:59.437443 UTC"
"C1251967187","2026-01-01","USD","0.00","0.00","46261.02","-46261.02","1","2026-09-07 19:39:59.437443 UTC"
"C1252540239","2026-01-01","USD","0.00","0.00","3875.99","-3875.99","1","2026-09-07 19:39:59.437443 UTC"
"C1256405521","2026-01-01","GBP","0.00","352568.35","0.00","352568.35","1","2026-09-07 19:39:59.437443 UTC"
"C1261044180","2026-01-01","GBP","0.00","0.00","267148.82","-267148.82","1","2026-09-07 19:39:59.437443 UTC"
"C1262237002","2026-01-01","USD","0.00","246816.65","0.00","246816.65","1","2026-09-07 19:39:59.437443 UTC"
"C1262609629","2026-01-01","GBP","0.00","0.00","6444.64","-6444.64","1","2026-09-07 19:39:59.437443 UTC"
"C1269118128","2026-01-01","EUR","0.00","0.00","7444.40","-7444.40","1","2026-09-07 19:39:59.437443 UTC"
"C1271041075","2026-01-01","EUR","0.00","0.00","5491.50","-5491.50","1","2026-09-07 19:39:59.437443 UTC"
"C1278002745","2026-01-01","EUR","0.00","0.00","4497.87","-4497.87","1","2026-09-07 19:39:59.437443 UTC"
"C1279740095","2026-01-01","EUR","0.00","0.00","410201.89","-410201.89","1","2026-09-07 19:39:59.437443 UTC"
"C130721104","2026-01-01","EUR","0.00","0.00","4867.56","-4867.56","1","2026-09-07 19:39:59.437443 UTC"
"C1313799195","2026-01-01","GBP","0.00","0.00","6757.51","-6757.51","1","2026-09-07 19:39:59.437443 UTC"
"C1313960293","2026-01-01","USD","0.00","0.00","6432.26","-6432.26","1","2026-09-07 19:39:59.437443 UTC"
"C1317375498","2026-01-01","GBP","0.00","0.00","3428.95","-3428.95","1","2026-09-07 19:39:59.437443 UTC"
"C1324262781","2026-01-01","USD","0.00","0.00","6548.43","-6548.43","1","2026-09-07 19:39:59.437443 UTC"
"C1325866488","2026-01-01","EUR","0.00","81694.11","0.00","81694.11","1","2026-09-07 19:39:59.437443 UTC"
"C1328323494","2026-01-01","EUR","0.00","0.00","622.15","-622.15","1","2026-09-07 19:39:59.437443 UTC"
"C1334405552","2026-01-01","EUR","0.00","0.00","1277212.77","-1277212.77","1","2026-09-07 19:39:59.437443 UTC"
"C1336775847","2026-01-01","GBP","0.00","0.00","84212.94","-84212.94","1","2026-09-07 19:39:59.437443 UTC"
"C1338905451","2026-01-01","EUR","0.00","0.00","467177.03","-467177.03","1","2026-09-07 19:39:59.437443 UTC"
"C1342374939","2026-01-01","USD","0.00","0.00","2644.54","-2644.54","1","2026-09-07 19:39:59.437443 UTC"
"C1348115836","2026-01-01","EUR","0.00","100198.77","0.00","100198.77","1","2026-09-07 19:39:59.437443 UTC"
"C1349025531","2026-01-01","USD","0.00","0.00","5800.85","-5800.85","1","2026-09-07 19:39:59.437443 UTC"
"C1358857082","2026-01-01","USD","0.00","0.00","8378.01","-8378.01","1","2026-09-07 19:39:59.437443 UTC"
"C1372422140","2026-01-01","USD","0.00","0.00","5110.10","-5110.10","1","2026-09-07 19:39:59.437443 UTC"
"C1373949107","2026-01-01","GBP","0.00","0.00","7641.08","-7641.08","1","2026-09-07 19:39:59.437443 UTC"
"C1376017854","2026-01-01","USD","0.00","0.00","2054.84","-2054.84","1","2026-09-07 19:39:59.437443 UTC"
"C1377301456","2026-01-01","USD","0.00","0.00","6688.74","-6688.74","1","2026-09-07 19:39:59.437443 UTC"
"C1379207867","2026-01-01","USD","0.00","0.00","5170.23","-5170.23","1","2026-09-07 19:39:59.437443 UTC"
"C1380976928","2026-01-01","GBP","0.00","0.00","144964.23","-144964.23","1","2026-09-07 19:39:59.437443 UTC"
"C1389774257","2026-01-01","USD","0.00","0.00","12401.90","-12401.90","1","2026-09-07 19:39:59.437443 UTC"
"C1390301622","2026-01-01","USD","0.00","0.00","5812.36","-5812.36","1","2026-09-07 19:39:59.437443 UTC"
"C1398260359","2026-01-01","GBP","0.00","0.00","4932.54","-4932.54","1","2026-09-07 19:39:59.437443 UTC"
"C140404585","2026-01-01","USD","0.00","0.00","302693.14","-302693.14","1","2026-09-07 19:39:59.437443 UTC"
"C1406206626","2026-01-01","GBP","0.00","0.00","1063.53","-1063.53","1","2026-09-07 19:39:59.437443 UTC"
"C1406848276","2026-01-01","EUR","0.00","0.00","7771.40","-7771.40","1","2026-09-07 19:39:59.437443 UTC"
"C141110631","2026-01-01","USD","0.00","0.00","47913.58","-47913.58","1","2026-09-07 19:39:59.437443 UTC"
"C1420196421","2026-01-01","EUR","0.00","0.00","2806.00","-2806.00","1","2026-09-07 19:39:59.437443 UTC"
"C1420810053","2026-01-01","GBP","0.00","0.00","5923.01","-5923.01","1","2026-09-07 19:39:59.437443 UTC"
"C1423768154","2026-01-01","EUR","0.00","0.00","4316.20","-4316.20","1","2026-09-07 19:39:59.437443 UTC"
"C1427775702","2026-01-01","USD","0.00","0.00","10430.39","-10430.39","1","2026-09-07 19:39:59.437443 UTC"
"C1430199669","2026-01-01","GBP","0.00","42547.96","0.00","42547.96","1","2026-09-07 19:39:59.437443 UTC"
"C1434066477","2026-01-01","EUR","0.00","155075.41","0.00","155075.41","1","2026-09-07 19:39:59.437443 UTC"
"C1441328175","2026-01-01","USD","0.00","0.00","10648.06","-10648.06","1","2026-09-07 19:39:59.437443 UTC"
"C1443675930","2026-01-01","GBP","0.00","88626.65","0.00","88626.65","1","2026-09-07 19:39:59.437443 UTC"
"C144445623","2026-01-01","USD","0.00","0.00","30331.38","-30331.38","1","2026-09-07 19:39:59.437443 UTC"
"C1447353473","2026-01-01","USD","0.00","0.00","123179.97","-123179.97","1","2026-09-07 19:39:59.437443 UTC"
"C1449772539","2026-01-01","GBP","0.00","0.00","379856.23","-379856.23","1","2026-09-07 19:39:59.437443 UTC"
"C1453062635","2026-01-01","USD","0.00","0.00","345698.98","-345698.98","1","2026-09-07 19:39:59.437443 UTC"
"C1453606810","2026-01-01","GBP","0.00","144366.64","0.00","144366.64","1","2026-09-07 19:39:59.437443 UTC"
"C1457226878","2026-01-01","GBP","0.00","0.00","363482.02","-363482.02","1","2026-09-07 19:39:59.437443 UTC"
"C1458091526","2026-01-01","EUR","0.00","0.00","323105.08","-323105.08","1","2026-09-07 19:39:59.437443 UTC"
"C1458621573","2026-01-01","USD","0.00","0.00","9164.71","-9164.71","1","2026-09-07 19:39:59.437443 UTC"
"C1459016715","2026-01-01","USD","0.00","0.00","4940.20","-4940.20","1","2026-09-07 19:39:59.437443 UTC"
"C1464177809","2026-01-01","GBP","0.00","0.00","1478772.04","-1478772.04","1","2026-09-07 19:39:59.437443 UTC"
"C146874094","2026-01-01","USD","0.00","0.00","64489.64","-64489.64","1","2026-09-07 19:39:59.437443 UTC"
"C1475192960","2026-01-01","USD","0.00","110226.34","0.00","110226.34","1","2026-09-07 19:39:59.437443 UTC"
"C1105142318","2026-01-16","GBP","0.00","69871.80","0.00","69871.80","1","2026-09-07 19:39:59.437443 UTC"
"C1107918632","2026-01-16","EUR","0.00","0.00","128748.02","-128748.02","1","2026-09-07 19:39:59.437443 UTC"
"C1115796877","2026-01-16","USD","0.00","0.00","11677.29","-11677.29","1","2026-09-07 19:39:59.437443 UTC"
"C1116166417","2026-01-16","GBP","0.00","0.00","19049.35","-19049.35","1","2026-09-07 19:39:59.437443 UTC"
"C1138130921","2026-01-16","EUR","0.00","197010.69","0.00","197010.69","1","2026-09-07 19:39:59.437443 UTC"
"C1143751326","2026-01-16","USD","0.00","584691.28","0.00","584691.28","1","2026-09-07 19:39:59.437443 UTC"
"C1147731644","2026-01-16","USD","0.00","0.00","324804.76","-324804.76","1","2026-09-07 19:39:59.437443 UTC"
"C1150038596","2026-01-16","GBP","0.00","0.00","17781.55","-17781.55","1","2026-09-07 19:39:59.437443 UTC"
"C1156051327","2026-01-16","USD","0.00","258746.05","0.00","258746.05","1","2026-09-07 19:39:59.437443 UTC"
"C1157462280","2026-01-16","USD","0.00","115654.60","0.00","115654.60","1","2026-09-07 19:39:59.437443 UTC"
"C1171058411","2026-01-16","USD","0.00","0.00","1366314.05","-1366314.05","1","2026-09-07 19:39:59.437443 UTC"
"C1173176233","2026-01-16","EUR","0.00","25512.11","0.00","25512.11","1","2026-09-07 19:39:59.437443 UTC"
"C1173818478","2026-01-16","GBP","0.00","0.00","8741.43","-8741.43","1","2026-09-07 19:39:59.437443 UTC"
"C1178242650","2026-01-16","USD","0.00","99569.48","0.00","99569.48","1","2026-09-07 19:39:59.437443 UTC"
"C1183259721","2026-01-16","USD","0.00","0.00","14420.87","-14420.87","1","2026-09-07 19:39:59.437443 UTC"
"C1183628940","2026-01-16","EUR","0.00","0.00","377850.83","-377850.83","1","2026-09-07 19:39:59.437443 UTC"
"C1369080285","2026-01-06","EUR","0.00","234527.64","0.00","234527.64","1","2026-09-07 19:39:59.437443 UTC"
"C1372802818","2026-01-06","GBP","0.00","0.00","10626.74","-10626.74","1","2026-09-07 19:39:59.437443 UTC"
"C1374596618","2026-01-06","EUR","0.00","0.00","8502.04","-8502.04","1","2026-09-07 19:39:59.437443 UTC"
"C1378841761","2026-01-06","GBP","0.00","0.00","50570.65","-50570.65","1","2026-09-07 19:39:59.437443 UTC"
"C1380194466","2026-01-06","USD","0.00","0.00","207013.89","-207013.89","1","2026-09-07 19:39:59.437443 UTC"
"C1380499546","2026-01-06","GBP","0.00","0.00","38874.87","-38874.87","1","2026-09-07 19:39:59.437443 UTC"
"C1386612163","2026-01-06","EUR","0.00","0.00","9621.65","-9621.65","1","2026-09-07 19:39:59.437443 UTC"
"C1386805129","2026-01-06","GBP","0.00","8893.16","0.00","8893.16","1","2026-09-07 19:39:59.437443 UTC"
"C1386863459","2026-01-06","GBP","0.00","0.00","546.23","-546.23","1","2026-09-07 19:39:59.437443 UTC"
"C1387253208","2026-01-06","GBP","0.00","0.00","1813.39","-1813.39","1","2026-09-07 19:39:59.437443 UTC"
"C1393284987","2026-01-06","GBP","0.00","0.00","20551.28","-20551.28","1","2026-09-07 19:39:59.437443 UTC"
"C1394960202","2026-01-06","EUR","0.00","0.00","17373.62","-17373.62","1","2026-09-07 19:39:59.437443 UTC"
"C1395523773","2026-01-06","GBP","0.00","0.00","3765.68","-3765.68","1","2026-09-07 19:39:59.437443 UTC"
